amount, "[1, 5, 10, 25, 50]:Coins","[1, 5, 10, 25, 50]:Time", "[1, 2, 6, 12, 24, 48, 60]:Coins","[1, 2, 6, 12, 24, 48, 60]:Time", "[1, 6, 13, 37, 150]:Coins","[1, 6, 13, 37, 150]:Time", "[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Coins","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Time"
10 , 1,0.010990, 3,0.014000, 5,0.012000, 1,0.018730
11 , 2,0.013760, 4,0.015960, 6,0.012870, 2,0.020200
12 , 3,0.014550, 1,0.017520, 2,0.013480, 1,0.021390
13 , 4,0.016100, 2,0.018450, 1,0.014210, 2,0.024580
14 , 5,0.018590, 2,0.021110, 2,0.015980, 1,0.026050
15 , 2,0.018430, 3,0.021500, 3,0.016350, 2,0.028630
16 , 3,0.020220, 3,0.025430, 4,0.019410, 1,0.032850
17 , 4,0.020960, 4,0.025030, 5,0.018940, 2,0.034870
18 , 5,0.021320, 2,0.027330, 3,0.020530, 1,0.037800
19 , 6,0.023540, 3,0.030550, 2,0.021840, 2,0.043510
20 , 2,0.023710, 3,0.028900, 3,0.023020, 1,0.044290
21 , 3,0.025020, 4,0.030710, 4,0.025220, 2,0.051240
22 , 4,0.028030, 4,0.032700, 5,0.025680, 1,0.050640
23 , 5,0.028310, 5,0.033930, 6,0.026220, 2,0.056420
24 , 6,0.028620, 1,0.037570, 4,0.028950, 1,0.058520
25 , 1,0.029500, 2,0.036970, 3,0.028920, 2,0.063880
26 , 2,0.031970, 2,0.040650, 2,0.029430, 1,0.065310
27 , 3,0.033150, 3,0.043130, 3,0.032670, 2,0.072730
28 , 4,0.034660, 3,0.042700, 4,0.032460, 1,0.076880
29 , 5,0.040220, 4,0.046460, 5,0.033840, 2,0.078570
30 , 2,0.038780, 2,0.046680, 5,0.038740, 1,0.086960
35 , 2,0.048480, 5,0.061220, 6,0.044830, 3,0.111150
