amount, "[1, 5, 10, 25, 50]:Coins","[1, 5, 10, 25, 50]:Time", "[1, 2, 6, 12, 24, 48, 60]:Coins","[1, 2, 6, 12, 24, 48, 60]:Time", "[1, 6, 13, 37, 150]:Coins","[1, 6, 13, 37, 150]:Time", "[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Coins","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Time"
10 , 1,0.002211, 3,0.002641, 5,0.002167, 1,0.005297
11 , 2,0.002194, 4,0.002679, 6,0.002238, 2,0.005189
12 , 3,0.002216, 1,0.002830, 2,0.002260, 1,0.004830
13 , 4,0.002161, 2,0.002624, 1,0.002162, 2,0.004793
14 , 5,0.002153, 2,0.002656, 2,0.002125, 1,0.005272
15 , 2,0.002258, 3,0.002632, 3,0.002163, 2,0.005031
16 , 3,0.002141, 3,0.002704, 4,0.002116, 1,0.004928
17 , 4,0.002144, 4,0.002920, 5,0.002324, 2,0.004880
18 , 5,0.002291, 2,0.002804, 3,0.002258, 1,0.004814
19 , 6,0.002149, 3,0.002685, 2,0.002283, 2,0.005025
20 , 2,0.002282, 3,0.002787, 3,0.002086, 1,0.004758
21 , 3,0.002182, 4,0.002596, 4,0.002121, 2,0.004896
22 , 4,0.002341, 4,0.002943, 5,0.002111, 1,0.004979
23 , 5,0.002180, 5,0.002921, 6,0.002363, 2,0.005284
24 , 6,0.002371, 1,0.002926, 4,0.002366, 1,0.005191
25 , 1,0.002338, 2,0.002825, 3,0.002350, 2,0.004895
26 , 2,0.002132, 2,0.002647, 2,0.002180, 1,0.005055
27 , 3,0.002192, 3,0.002759, 3,0.002225, 2,0.004858
28 , 4,0.002138, 3,0.002620, 4,0.002165, 1,0.004757
29 , 5,0.002346, 4,0.002733, 5,0.002224, 2,0.004945
30 , 2,0.002187, 2,0.002612, 5,0.002183, 1,0.004741
35 , 2,0.002196, 5,0.002606, 6,0.002170, 3,0.005238
