amount, greedy coins, greedy time, dp coins, dp time
2000 , 67 , 0.004668 , 67 , 9.14199
2001 , 68 , 0.004666 , 68 , 9.07287
2002 , 67 , 0.004704 , 67 , 9.13838
2003 , 68 , 0.00476 , 68 , 9.09008
2004 , 67 , 0.004633 , 67 , 9.1965
2005 , 68 , 0.004627 , 68 , 9.12943
2006 , 67 , 0.00465 , 67 , 9.25391
2007 , 68 , 0.004637 , 68 , 9.14449
2008 , 67 , 0.004792 , 67 , 9.10587
2009 , 68 , 0.004623 , 68 , 9.1516
2010 , 67 , 0.004612 , 67 , 9.10162
2011 , 68 , 0.004648 , 68 , 9.1659
2012 , 68 , 0.004627 , 68 , 9.12151
2013 , 69 , 0.004629 , 69 , 9.18581
2014 , 68 , 0.004649 , 68 , 9.11992
2015 , 69 , 0.004693 , 69 , 9.19712
2016 , 68 , 0.004622 , 68 , 9.14917
2017 , 69 , 0.004651 , 69 , 9.19147
2018 , 68 , 0.004642 , 68 , 9.14143
2019 , 69 , 0.004685 , 69 , 9.21675
2020 , 68 , 0.004719 , 68 , 9.15636
2021 , 69 , 0.004608 , 69 , 9.20107
2022 , 68 , 0.005165 , 68 , 9.17452
2023 , 69 , 0.004661 , 69 , 9.18765
2024 , 68 , 0.004967 , 68 , 9.20762
2025 , 69 , 0.005185 , 69 , 9.15405
2026 , 68 , 0.004665 , 68 , 9.23819
2027 , 69 , 0.004613 , 69 , 9.18618
2028 , 68 , 0.004672 , 68 , 9.23532
2029 , 69 , 0.004686 , 69 , 9.22774
2030 , 68 , 0.004707 , 68 , 9.29129
2031 , 69 , 0.00469 , 69 , 9.34514
2032 , 68 , 0.00485 , 68 , 9.33325
2033 , 69 , 0.004674 , 69 , 9.23718
2034 , 68 , 0.004668 , 68 , 9.3331
2035 , 69 , 0.004931 , 69 , 9.28317
2036 , 68 , 0.004657 , 68 , 9.36545
2037 , 69 , 0.00488300000001 , 69 , 9.34838
2038 , 68 , 0.004704 , 68 , 9.27761
2039 , 69 , 0.005307 , 69 , 9.34114
2040 , 68 , 0.005007 , 68 , 9.2732
2041 , 69 , 0.004604 , 69 , 9.35948
2042 , 69 , 0.004647 , 69 , 9.34525
2043 , 70 , 0.004674 , 70 , 9.36761
2044 , 69 , 0.004705 , 69 , 9.36521
2045 , 70 , 0.00468900000001 , 70 , 9.39055
2046 , 69 , 0.00468900000001 , 69 , 9.37382
2047 , 70 , 0.004667 , 70 , 9.34666
2048 , 69 , 0.004911 , 69 , 9.35353
2049 , 70 , 0.004647 , 70 , 9.36467
2050 , 69 , 0.004635 , 69 , 9.32516
2051 , 70 , 0.004633 , 70 , 9.41865
2052 , 69 , 0.004724 , 69 , 9.36851
2053 , 70 , 0.004659 , 70 , 9.42641
2054 , 69 , 0.004638 , 69 , 9.40486
2055 , 70 , 0.0046 , 70 , 9.46423
2056 , 69 , 0.004632 , 69 , 9.41257
2057 , 70 , 0.004661 , 70 , 9.45141
2058 , 69 , 0.005017 , 69 , 9.41142
2059 , 70 , 0.004586 , 70 , 9.45545
2060 , 69 , 0.004806 , 69 , 9.39254
2061 , 70 , 0.004608 , 70 , 9.35301
2062 , 69 , 0.004617 , 69 , 9.38122
2063 , 70 , 0.004631 , 70 , 9.3226
2064 , 69 , 0.005326 , 69 , 9.41352
2065 , 70 , 0.004637 , 70 , 9.43236
2066 , 69 , 0.004639 , 69 , 9.39467
2067 , 70 , 0.004682 , 70 , 9.45049
2068 , 69 , 0.00472300000001 , 69 , 9.41853
2069 , 70 , 0.004615 , 70 , 9.51238
2070 , 69 , 0.00460699999999 , 69 , 9.4337
2071 , 70 , 0.004606 , 70 , 9.40039
2072 , 70 , 0.004727 , 70 , 9.47459
2073 , 71 , 0.00460700000001 , 71 , 9.43358
2074 , 70 , 0.004639 , 70 , 9.49813
2075 , 71 , 0.004614 , 71 , 9.3948
2076 , 70 , 0.004819 , 70 , 9.45741
2077 , 71 , 0.004609 , 71 , 9.41814
2078 , 70 , 0.005047 , 70 , 9.48418
2079 , 71 , 0.00470199999999 , 71 , 9.44443
2080 , 70 , 0.00465199999999 , 70 , 9.46565
2081 , 71 , 0.004649 , 71 , 9.42179
2082 , 70 , 0.004661 , 70 , 9.49367
2083 , 71 , 0.00476599999999 , 71 , 9.43641
2084 , 70 , 0.00464100000001 , 70 , 9.53738
2085 , 71 , 0.004744 , 71 , 9.47083
2086 , 70 , 0.004632 , 70 , 9.45993
2087 , 71 , 0.004857 , 71 , 9.48902
2088 , 70 , 0.004947 , 70 , 9.44133
2089 , 71 , 0.00459600000001 , 71 , 9.51466
2090 , 70 , 0.004833 , 70 , 9.46325
2091 , 71 , 0.00462999999999 , 71 , 9.5145
2092 , 70 , 0.004772 , 70 , 9.47885
2093 , 71 , 0.004717 , 71 , 9.53379
2094 , 70 , 0.004699 , 70 , 9.49491
2095 , 71 , 0.004654 , 71 , 9.5548
2096 , 70 , 0.00463499999999 , 70 , 9.48636
2097 , 71 , 0.004694 , 71 , 9.57038
