amount, "[1, 5, 10, 25, 50]:Coins","[1, 5, 10, 25, 50]:Time", "[1, 2, 6, 12, 24, 48, 60]:Coins","[1, 2, 6, 12, 24, 48, 60]:Time", "[1, 6, 13, 37, 150]:Coins","[1, 6, 13, 37, 150]:Time", "[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Coins","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Time"
10 , 1,0.008000, 3,0.294000, 5,0.518000, 1,0.003000
11 , 2,0.630000, 4,0.549000, 6,1.006000, 2,0.075000
12 , 3,1.133000, 1,0.002000, 2,1.842000, 1,0.003000
13 , 4,2.083000, 2,1.015000, 1,0.002000, 2,0.146000
14 , 5,4.491000, 2,2.237000, 2,3.759000, 1,0.003000
15 , 2,8.619000, 3,4.437000, 3,7.883000, 2,0.293000
16 , 3,16.725000, 3,8.446000, 4,14.802000, 1,0.002000
17 , 4,33.340000, 4,16.084000, 5,29.587000, 2,0.579000
18 , 5,65.313000, 2,32.174000, 3,59.230000, 1,0.003000
19 , 6,128.785000, 3,63.587000, 2,118.774000, 2,1.080000
20 , 2,258.035000, 3,122.771000, 3,229.500000, 1,0.002000
21 , 3,502.905000, 4,251.620000, 4,458.397000, 2,2.128000
22 , 4,1008.897000, 4,499.097000, 5,915.975000, 1,0.002000
23 , 5,2002.284000, 5,987.249000, 6,1818.773000, 2,4.098000
24 , 6,4021.655000, 1,0.002000, 4,3654.590000, 1,0.003000
25 , 1,0.002000, 2,1974.664000, 3,7298.311000, 2,8.223000
26 , 2,8031.583000, 2,3965.648000, 2,14554.762000, 1,0.003000
27 , 3,16503.043000, 3,8529.867000, 3,30064.505000, 2,18.040000
28 , 4,33163.290000, 3,16257.053000, 4,58806.331000, 1,0.006000
29 , 5,65255.188000, 4,32021.954000, 5,116771.299000, 2,35.518000
30 , 2,128.766689, 2,62.395300, 5,231.932890, 1,0.000004
35 , 2,4072.610423, 5,1990.510881, 6,7411.213062, 3,1.045130
