amount, "[1, 5, 10, 25, 50]:Coins","[1, 5, 10, 25, 50]:Time", "[1, 2, 6, 12, 24, 48, 60]:Coins","[1, 2, 6, 12, 24, 48, 60]:Time", "[1, 6, 13, 37, 150]:Coins","[1, 6, 13, 37, 150]:Time", "[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Coins","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]:Time"
10 , 1,0.000007, 3,0.000313, 5,0.000618, 1,0.000002
11 , 2,0.000546, 4,0.000540, 6,0.000937, 2,0.000065
12 , 3,0.001112, 1,0.000007, 2,0.001866, 1,0.000002
13 , 4,0.002037, 2,0.001012, 1,0.000002, 2,0.000144
14 , 5,0.004407, 2,0.001971, 2,0.003748, 1,0.000002
15 , 2,0.008212, 3,0.004290, 3,0.007238, 2,0.000289
16 , 3,0.017554, 3,0.008195, 4,0.014801, 1,0.000003
17 , 4,0.032229, 4,0.016173, 5,0.029428, 2,0.000565
18 , 5,0.065704, 2,0.032907, 3,0.058331, 1,0.000007
19 , 6,0.129466, 3,0.063760, 2,0.116568, 2,0.001086
20 , 2,0.256483, 3,0.125285, 3,0.236229, 1,0.000003
21 , 3,0.514579, 4,0.251241, 4,0.470780, 2,0.002090
22 , 4,1.033551, 4,0.503581, 5,0.941291, 1,0.000003
23 , 5,2.066193, 5,1.011669, 6,1.879911, 2,0.004155
